state,period,target,anytarget_th0,inc_anytarget_th0_h6,protest_count,avg_protest_count,violence
AL,201811,0,0,0.0,1.0,4.34,1.0
AL,201812,0,0,0.0,1.0,4.34,1.0
AL,201901,0,0,1.0,3.0,4.34,0.0
AL,201902,0,0,1.0,2.0,4.34,1.0
AL,201903,0,0,1.0,2.0,4.34,0.0
AL,201904,0,0,1.0,1.0,4.34,0.0
AL,201905,0,0,1.0,0.0,4.34,0.0
AL,201906,0,0,1.0,1.0,4.34,0.0
AL,201907,1,1,0.0,9.0,4.34,0.0
AL,201908,0,0,0.0,0.0,4.34,0.0
AL,201909,0,0,0.0,0.0,4.34,0.0
AL,201910,0,0,0.0,0.0,4.34,0.0
AL,201911,0,0,1.0,0.0,4.34,1.0
AL,201912,0,0,1.0,1.0,4.34,0.0
AL,202001,0,0,1.0,0.0,4.34,0.0
AL,202002,0,0,1.0,1.0,4.34,0.0
AL,202003,0,0,1.0,2.0,4.34,0.0
AL,202004,0,0,1.0,0.0,4.34,0.0
AL,202005,1,1,1.0,26.0,4.34,1.0
AL,202006,1,1,1.0,51.0,4.34,1.0
AL,202007,1,1,1.0,6.0,4.34,1.0
AL,202008,1,1,1.0,6.0,4.34,0.0
AL,202009,0,0,1.0,3.0,4.34,0.0
AL,202010,1,1,1.0,10.0,4.34,1.0
AL,202011,1,1,1.0,9.0,4.34,1.0
AL,202012,0,0,1.0,3.0,4.34,0.0
AL,202101,1,1,1.0,8.0,4.34,0.0
AL,202102,0,0,1.0,4.0,4.34,0.0
AL,202103,1,1,1.0,14.0,4.34,0.0
AL,202104,1,1,0.0,6.0,4.34,0.0
AL,202105,0,0,0.0,4.0,4.34,1.0
AL,202106,0,0,0.0,2.0,4.34,0.0
AL,202107,0,0,1.0,3.0,4.34,1.0
AL,202108,0,0,1.0,2.0,4.34,0.0
AL,202109,0,0,1.0,3.0,4.34,0.0
AL,202110,0,0,1.0,1.0,4.34,1.0
AL,202111,0,0,1.0,2.0,4.34,1.0
AL,202112,0,0,1.0,2.0,4.34,0.0
AL,202201,1,1,1.0,5.0,4.34,0.0
AL,202202,0,0,1.0,3.0,4.34,0.0
AL,202203,1,1,0.0,10.0,4.34,0.0
AL,202204,0,0,0.0,2.0,4.34,0.0
AL,202205,0,0,0.0,0.0,4.34,1.0
AL,202206,0,0,0.0,1.0,4.34,0.0
AL,202207,0,0,1.0,2.0,4.34,0.0
AL,202208,0,0,1.0,0.0,4.34,0.0
AL,202209,0,0,1.0,2.0,4.34,0.0
AL,202210,0,0,1.0,3.0,4.34,0.0
AL,202211,0,0,1.0,0.0,4.34,0.0
AL,202212,0,0,1.0,1.0,4.34,0.0
AL,202301,1,1,1.0,6.0,4.34,0.0
AL,202302,1,1,1.0,9.0,4.34,0.0
AL,202303,1,1,1.0,8.0,4.34,0.0
AL,202304,0,0,1.0,2.0,4.34,0.0
AL,202305,1,1,1.0,10.0,4.34,0.0
AL,202306,0,0,1.0,1.0,4.34,0.0
AL,202307,0,0,1.0,2.0,4.34,0.0
AL,202308,1,1,1.0,7.0,4.34,0.0
AL,202309,1,1,1.0,6.0,4.34,1.0
AL,202310,1,1,1.0,15.0,4.34,1.0
AL,202311,0,0,1.0,3.0,4.34,1.0
AL,202312,1,1,1.0,10.0,4.34,0.0
AL,202401,1,1,1.0,5.0,4.34,0.0
AL,202402,1,1,1.0,7.0,4.34,0.0
AL,202403,1,1,1.0,16.0,4.34,0.0
AL,202404,0,0,1.0,4.0,4.34,0.0
AL,202405,0,0,1.0,4.0,4.34,0.0
AL,202406,1,1,1.0,11.0,4.34,0.0
AL,202407,0,0,1.0,0.0,4.34,0.0
AL,202408,0,0,1.0,4.0,4.34,0.0
AL,202409,1,1,1.0,9.0,4.34,0.0
AL,202410,1,1,1.0,5.0,4.34,1.0
AL,202411,0,0,,2.0,4.34,1.0
AL,202412,0,0,,3.0,4.34,0.0
AL,202501,1,1,,12.0,4.34,0.0
AL,202502,0,0,,2.0,4.34,0.0
AL,202503,0,0,,4.0,4.34,0.0
AL,202504,1,1,,9.0,4.34,0.0
AR,201701,0,0,1.0,1.0,1.76,0.0
AR,201702,0,0,1.0,0.0,1.76,0.0
AR,201703,0,0,1.0,0.0,1.76,1.0
AR,201704,0,0,1.0,0.0,1.76,0.0
AR,201705,0,0,1.0,1.0,1.76,0.0
AR,201706,0,0,1.0,0.0,1.76,0.0
AR,201707,1,1,1.0,2.0,1.76,0.0
AR,201708,1,1,0.0,3.0,1.76,1.0
AR,201709,0,0,0.0,1.0,1.76,0.0
AR,201710,0,0,0.0,0.0,1.76,0.0
AR,201711,0,0,1.0,0.0,1.76,0.0
AR,201712,0,0,1.0,0.0,1.76,0.0
AR,201801,0,0,1.0,1.0,1.76,0.0
