Categoría: Todas las categorías

Área de mercado designada,criminal justice: (1/1/15 - 10/5/25)
Greenville-New Bern-Washington NC,100
Norfolk-Portsmouth-Newport News VA,82
Greensboro-High Point-Winston Salem NC,74
Raleigh-Durham (Fayetteville) NC,74
Florence-Myrtle Beach SC,67
Charlotte NC,67
Greenville-Spartanburg SC-Asheville NC-Anderson SC,62
Wilmington NC,52
