month,state,criminal justice,health,healthcare,immigrants,rent
2017-10,AL,64,65,48,32.0,71
2017-11,AL,78,62,52,21.0,65
2017-12,AL,66,54,43,17.0,64
2018-01,AL,53,71,46,35.0,81
2018-02,AL,78,66,46,33.0,83
2018-03,AL,74,62,42,21.0,82
2018-04,AL,56,66,46,23.0,81
2018-05,AL,51,63,42,20.0,83
2018-06,AL,51,64,43,52.0,88
2018-07,AL,45,64,45,25.0,93
2018-08,AL,49,70,46,28.0,79
2018-09,AL,44,65,43,38.0,71
2018-10,AL,47,64,48,49.0,73
2018-11,AL,57,61,45,40.0,68
2018-12,AL,58,55,38,26.0,64
2019-01,AL,48,74,50,49.0,84
2019-02,AL,53,68,44,29.0,83
2019-03,AL,53,63,43,20.0,86
2019-04,AL,50,67,47,29.0,82
2019-05,AL,42,64,43,19.0,89
2019-06,AL,57,70,45,21.0,93
2019-07,AL,45,71,46,23.0,89
2019-08,AL,54,75,46,35.0,81
2019-09,AL,52,68,46,39.0,78
2019-10,AL,62,71,46,30.0,71
2019-11,AL,58,62,45,20.0,63
2019-12,AL,61,58,40,20.0,67
2020-01,AL,56,73,44,22.0,82
2020-02,AL,55,68,44,22.0,78
2020-03,AL,65,100,57,15.0,71
2020-04,AL,57,84,78,20.0,74
2020-05,AL,60,66,60,14.0,92
2020-06,AL,72,72,46,13.0,95
2020-07,AL,65,76,47,13.0,90
2020-08,AL,60,75,44,17.0,83
2020-09,AL,52,73,46,50.0,76
2020-10,AL,54,72,47,37.0,77
2020-11,AL,65,64,47,21.0,71
2020-12,AL,67,64,48,18.0,73
2021-01,AL,69,86,49,24.0,88
2021-02,AL,57,94,51,23.0,83
2021-03,AL,54,82,45,26.0,96
2021-04,AL,55,72,47,25.0,97
2021-05,AL,46,66,45,16.0,97
2021-06,AL,47,68,46,9.0,97
2021-07,AL,48,70,48,11.0,100
2021-08,AL,47,77,52,17.0,85
2021-09,AL,44,74,50,33.0,84
2021-10,AL,45,71,53,24.0,85
2021-11,AL,52,68,53,23.0,78
2021-12,AL,56,64,53,13.0,76
2022-01,AL,52,87,64,19.0,85
2022-02,AL,55,75,58,20.0,91
2022-03,AL,51,76,55,19.0,93
2022-04,AL,49,75,52,32.0,88
2022-05,AL,54,71,53,22.0,88
2022-06,AL,58,77,52,14.0,97
2022-07,AL,52,72,53,12.0,89
2022-08,AL,49,84,57,24.0,79
2022-09,AL,45,80,54,57.0,72
2022-10,AL,44,76,53,27.0,71
2022-11,AL,55,69,52,22.0,61
2022-12,AL,56,65,59,22.0,66
2023-01,AL,48,81,57,26.0,76
2023-02,AL,55,80,56,20.0,74
2023-03,AL,48,79,53,19.0,80
2023-04,AL,49,77,53,21.0,75
2023-05,AL,39,75,54,33.0,80
2023-06,AL,40,76,54,14.0,82
2023-07,AL,42,78,57,11.0,80
2023-08,AL,41,84,61,27.0,73
2023-09,AL,41,80,59,46.0,67
2023-10,AL,44,80,63,35.0,65
2023-11,AL,49,76,60,28.0,61
2023-12,AL,51,68,70,28.0,58
2024-01,AL,45,83,67,35.0,67
2024-02,AL,45,84,70,50.0,69
2024-03,AL,42,81,64,42.0,68
2024-04,AL,41,86,69,34.0,68
2024-05,AL,40,82,59,23.0,71
2024-06,AL,40,83,59,20.0,72
2024-07,AL,39,79,55,27.0,70
2024-08,AL,40,86,66,51.0,63
2024-09,AL,40,81,60,100.0,60
2024-10,AL,42,89,69,57.0,60
2024-11,AL,51,79,63,60.0,54
2024-12,AL,54,79,100,25.0,57
2025-01,AL,47,86,67,73.0,65
2025-02,AL,44,91,67,77.0,67
2025-03,AL,43,86,62,40.0,65
2025-04,AL,45,88,68,42.0,68
2025-05,AL,38,83,63,42.0,65
2015-01,AR,90,49,53,36.0,67
2015-02,AR,76,47,47,34.0,63
2015-03,AR,59,44,47,28.0,68
2015-04,AR,98,48,47,32.0,68
2015-05,AR,64,46,41,18.0,76
2015-06,AR,67,47,49,15.0,77
2015-07,AR,74,50,50,16.0,77
2015-08,AR,94,48,49,26.0,64
2015-09,AR,100,45,52,65.0,57
2015-10,AR,86,49,46,46.0,55
2015-11,AR,67,46,41,47.0,62
2015-12,AR,66,40,42,32.0,59
2016-01,AR,77,49,43,28.0,76
2016-02,AR,74,50,40,31.0,84
2016-03,AR,55,48,38,27.0,82
2016-04,AR,88,48,41,41.0,82
2016-05,AR,62,43,37,29.0,80
2016-06,AR,48,41,36,20.0,92
