state,period,tokens,article_count,token_stock,stock_pr_topic_0,stock_pr_topic_1,stock_pr_topic_2,stock_pr_topic_3,stock_pr_topic_4,stock_pr_topic_5,stock_pr_topic_6,stock_pr_topic_7,stock_pr_topic_8,stock_pr_topic_9,stock_pr_topic_10,stock_pr_topic_11,stock_pr_topic_12,stock_pr_topic_13,stock_pr_topic_14
AK,201701,2226.0,13,2226.0,0.051112654986153847,0.09717984208076924,0.02902084881461538,0.05177391446692308,0.10565045386230769,0.06997973502384615,0.04858032382615384,0.16462203024615382,0.01969754164153846,0.017215407373846154,0.06186344230769231,0.00922851086,0.16117880052846154,0.013923037224615383,0.09897343241692307
AK,201702,3876.0,18,5656.8,0.16883374574919321,0.04800667202203258,0.0447353206887334,0.04177800818693077,0.050352842623560594,0.06005556095764129,0.08374268028474073,0.15966050611450835,0.00800316302628312,0.006701288214586321,0.04283104271436003,0.018224006114598595,0.21651028877120473,0.015654828048092283,0.0349100335497142
AK,201703,5125.0,20,9650.44,0.1438923298893733,0.046346922501028405,0.028465194895627467,0.02768723876673255,0.07271677738739021,0.05506196708735152,0.11645770553327384,0.15989663189620013,0.005195806430805248,0.005761015739185728,0.05453276903751522,0.010443351033281804,0.2255676010205763,0.012890841525174888,0.03508384168507795
AK,201704,6214.0,22,13934.352,0.10040742269820756,0.05765617607581482,0.02090930482614647,0.024063270452408546,0.06727405201050501,0.07846551270793982,0.12214291617694979,0.11384761641300767,0.005451515906971763,0.004212819235801357,0.06519857533801111,0.008170030810752068,0.2818870951528052,0.026225155841074287,0.02408852481745711
AK,201705,5464.0,28,16611.481600000003,0.07971043918610675,0.05029114202340989,0.017648881387942735,0.024870826670473127,0.08192609570184751,0.06497293536785165,0.16792756933764955,0.09413573508499315,0.009029180428588666,0.0048017171084883134,0.048415356738403754,0.008419876602854036,0.2314415845887941,0.055473540352939436,0.0609351100005462
AK,201706,7536.0,29,20825.18528,0.0644708962066608,0.055074514481596476,0.032001296142700086,0.03103899254252849,0.07524629430705708,0.05904971091550488,0.15287505258875653,0.10950085848055226,0.00830139389712679,0.005369869909691759,0.04201283941793118,0.005794240227860828,0.2526904457084595,0.04136747255477929,0.06520611467254463
AK,201707,4693.0,25,21353.148224000004,0.0627950294763599,0.05281840489438998,0.03429938468427794,0.02864397334057465,0.099998564369407,0.05499794834819991,0.1557677288103689,0.10276782878266812,0.008088496971040054,0.01095426035611867,0.04043970808059916,0.005198931019169126,0.22353179255286762,0.043863829086896164,0.07583411217827471
AK,201708,10504.0,38,27586.518579200005,0.05909888116766369,0.042129673599006864,0.03763430945887905,0.02877044914562649,0.11680373120325253,0.041339356796593514,0.17652567119535398,0.07788380240741995,0.010309055829402341,0.008487386622888532,0.03437948695611979,0.005170571619262624,0.24371075563101488,0.0306928754239347,0.08706398887682917
AK,201709,6873.0,24,28942.214863360005,0.05490484941162666,0.04434715315159345,0.04114535504918282,0.028377660748240698,0.11097161095403554,0.03709198010898391,0.18834263655406075,0.06886708443631391,0.013279072639626941,0.009471112884849942,0.029491823441607112,0.012197154793832462,0.2293765144003628,0.04204500340343025,0.09009098727645494
AK,201710,6184.0,23,29337.771890688004,0.10397576214349386,0.04263676568427892,0.04632738029044795,0.02378108939920112,0.09990803886106378,0.0409161347140311,0.17000820290673305,0.05960101598715812,0.01089711981973392,0.009146091910276993,0.037595232947688184,0.012266394105296051,0.23022169984017649,0.03552213958997616,0.07719693456753157
AK,201711,8841.0,37,32311.217512550407,0.08782087816064522,0.04252445507878649,0.03949392405325693,0.024259692957746166,0.09444330215428583,0.06493886716948007,0.16136937577988858,0.05764405188598769,0.015419060634998252,0.010159970436470852,0.05196803339892586,0.010516031542281338,0.23007402838688906,0.03854301329901161,0.07082531537821496
AK,201712,3819.0,26,29667.974010040325,0.11521334904100557,0.04492347318830626,0.03871402402243898,0.02196007546922902,0.09408011887207171,0.0635265677440859,0.15648177003382557,0.05729539925087727,0.014255721392475567,0.010882929846368964,0.04771936003885014,0.009976498058305333,0.22035439922496586,0.038863963984409784,0.06575235008455502
