state,period,pr_topic_0,pr_topic_1,pr_topic_2,pr_topic_3,pr_topic_4,pr_topic_5,pr_topic_6,pr_topic_7,pr_topic_8,pr_topic_9,pr_topic_10,pr_topic_11,pr_topic_12,pr_topic_13,pr_topic_14,tokens,article_count
AK,201701,0.051112654986153847,0.09717984208076924,0.029020848814615384,0.05177391446692308,0.10565045386230769,0.06997973502384615,0.04858032382615384,0.16462203024615382,0.01969754164153846,0.017215407373846154,0.0618634423076923,0.00922851086,0.16117880052846154,0.013923037224615383,0.09897343241692307,2226.0,13
AK,201702,0.22291984441555554,0.0254144168,0.05195522046,0.03718546177222223,0.02494675746,0.05549597138666666,0.09989776913444444,0.15738096995,0.002630265854444444,0.001870652662777778,0.034086745192222226,0.02235692096222222,0.24193193847777777,0.016450486742222225,0.005476571036111111,3876.0,18
AK,201703,0.121868743355,0.0448813426235,0.0140984674675,0.015244910656499999,0.092464415424,0.050652560366499996,0.14534548775,0.16010513395620002,0.0027168749515,0.004930743218,0.064865541793,0.0035729339149999997,0.23356532261,0.01045020637,0.035237316473000005,5125.0,20
AK,201704,0.04638122536909091,0.07170693540227273,0.011521771673636362,0.019560806496272728,0.06051194133318182,0.10754237306181817,0.12920629360909092,0.05663573859136364,0.005769212586363637,0.002289320366909091,0.07844990765272727,0.005345629084545455,0.35185914522727274,0.04279187618181818,0.010427804416818181,6214.0,22
AK,201705,0.03748510191,0.03526523031357143,0.010997067646071428,0.026518377563928573,0.11181873615785713,0.03744580183285714,0.261335984175,0.05392017241928571,0.016328219488928573,0.0060031680967857146,0.014174760009285714,0.008929604159642857,0.12852423451285716,0.11514517801321429,0.1361083586007143,5464.0,28
AK,201706,0.0375970758462069,0.06350964224965518,0.057310730708965515,0.04191610229724138,0.0634669526975862,0.04860453745448276,0.12633103931827586,0.13659613072758622,0.007017995534482759,0.006371765854827586,0.03072246801,0.001164122358275862,0.2901612594568965,0.016492452843793103,0.07273771929275862,7536.0,29
AK,201707,0.056845703218,0.0448092167136,0.042457598137199994,0.02014165608,0.1878691137236,0.040614192767600005,0.16603672830240002,0.07886557590320001,0.0073327129639999995,0.0307788443276,0.0348550924284,0.0030855835536000003,0.1200185848852,0.05272589383120001,0.11356349930160001,4693.0,25
AK,201708,0.05308788324736843,0.024746728916842105,0.04305785424394737,0.028976135102368423,0.14413375544789475,0.01912656700736842,0.2102840429068421,0.03741523396868421,0.013920321818947368,0.004475541956052632,0.02452382816394737,0.0051244510960526315,0.27652754082631575,0.009273124790526317,0.10532699128973684,10504.0,38
AK,201709,0.041437806203750004,0.0514674838225,0.0524193285,0.027116416526250003,0.09224466276708333,0.02345364623375,0.22628693271791667,0.0399143874675,0.02281580174375,0.01262985961,0.01379752746,0.03475952549583334,0.18334924106666664,0.07849670594029166,0.0998106843625,6873.0,24
AK,201710,0.28770420972782607,0.03623283275043478,0.06572961676652174,0.00657087521826087,0.05848445792043478,0.05523431120173913,0.1013614864747826,0.02490754328417391,0.001978751086521739,0.007929167346086957,0.06793554589086956,0.012525635894347827,0.2333861938373913,0.011099613585652176,0.028919774934782608,6184.0,23
