term,tfidf_weight_sum,rank,first_appearance,occurrence_count,unique_date_count,unique_dates
sweeps homeless encampments,118.01019913746549,36,2020-06,354,50,"['2020-06', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02']"
racism,116.97280417780883,37,2018-06,388,48,"['2018-06', '2019-12', '2020-02', '2020-03', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-07', '2022-08', '2022-10', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-12', '2024-02', '2024-03', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01']"
justice,113.86665035411721,38,2017-04,260,60,"['2017-04', '2019-07', '2020-02', '2020-03', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2021-01', '2021-02', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
rally,112.41131549333274,39,2017-04,275,61,"['2017-04', '2017-07', '2017-08', '2017-09', '2017-10', '2017-11', '2018-06', '2018-07', '2018-08', '2018-11', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
local homeless,108.40697909117375,40,2018-02,379,16,"['2018-02', '2020-06', '2020-07', '2020-12', '2021-03', '2022-12', '2023-06', '2023-08', '2023-10', '2024-01', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
encampments criminalization,105.09500210876995,41,2022-09,371,13,"['2022-09', '2023-03', '2023-05', '2023-08', '2023-09', '2023-11', '2024-02', '2024-06', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
homeless encampments criminalization,105.09500210876995,42,2022-09,371,13,"['2022-09', '2023-03', '2023-05', '2023-08', '2023-09', '2023-11', '2024-02', '2024-06', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
encampments criminalization homelessness,105.09500210876995,43,2022-09,371,13,"['2022-09', '2023-03', '2023-05', '2023-08', '2023-09', '2023-11', '2024-02', '2024-06', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
local homeless encampments,103.84646377798529,44,2021-03,365,7,"['2021-03', '2023-06', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
sweeps local,103.84646377798529,45,2021-03,365,7,"['2021-03', '2023-06', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
sweeps local homeless,103.84646377798529,46,2021-03,365,7,"['2021-03', '2023-06', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
services,100.84843361921233,47,2018-09,330,43,"['2018-09', '2018-10', '2020-02', '2020-07', '2020-11', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2023-09', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-08', '2024-10', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04']"
day,99.59132500077446,48,2017-05,184,40,"['2017-05', '2017-07', '2019-01', '2021-01', '2021-03', '2021-05', '2021-06', '2021-09', '2021-12', '2022-01', '2022-03', '2022-05', '2022-07', '2022-10', '2022-12', '2023-01', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
camp,99.37146252746281,49,2017-02,277,28,"['2017-02', '2018-11', '2018-12', '2019-06', '2020-08', '2021-02', '2021-03', '2021-05', '2021-07', '2021-09', '2022-02', '2022-07', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-06', '2024-07', '2024-08', '2024-10']"
mayor,98.52857102081767,50,2018-12,361,48,"['2018-12', '2019-06', '2020-03', '2020-06', '2020-09', '2020-11', '2020-12', '2021-01', '2021-02', '2021-04', '2021-07', '2021-08', '2021-09', '2021-10', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-04']"
apartments,97.52555612968122,51,2017-10,173,54,"['2017-10', '2017-11', '2018-07', '2019-06', '2019-10', '2020-01', '2020-06', '2020-07', '2020-11', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-03']"
legislation,91.99493887967282,52,2020-01,224,49,"['2020-01', '2020-07', '2020-12', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-02', '2025-03']"
living,90.72898795681598,53,2017-05,209,56,"['2017-05', '2017-11', '2018-06', '2018-07', '2018-11', '2020-01', '2020-03', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-06', '2021-07', '2021-08', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02']"
action,88.95186371370278,54,2017-07,367,52,"['2017-07', '2018-07', '2019-12', '2020-02', '2020-07', '2020-08', '2020-10', '2020-11', '2021-01', '2021-02', '2021-03', '2021-04', '2021-06', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01', '2025-02', '2025-04']"
park,88.76597183253027,55,2018-11,160,52,"['2018-11', '2019-06', '2020-09', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-02', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-11', '2024-12', '2025-01', '2025-03', '2025-04']"
liberation,87.88846916648865,56,2020-11,239,25,"['2020-11', '2022-08', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02']"
remembrance,85.13120047045368,57,2017-12,140,35,"['2017-12', '2021-04', '2021-05', '2021-07', '2021-09', '2021-10', '2021-12', '2022-02', '2022-03', '2022-04', '2022-06', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-08', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01']"
building,85.09288372300507,58,2018-06,262,38,"['2018-06', '2018-12', '2019-11', '2020-06', '2020-12', '2021-01', '2021-03', '2021-04', '2021-06', '2021-09', '2022-05', '2022-06', '2022-07', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2024-01', '2024-02', '2024-03', '2024-04', '2024-07', '2024-08', '2024-09', '2024-11', '2025-01', '2025-02', '2025-04']"
moratorium,84.49168098433076,59,2017-07,270,34,"['2017-07', '2020-03', '2020-05', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-07', '2022-08', '2022-10', '2023-02', '2023-03', '2023-04', '2023-09', '2023-10', '2024-02', '2024-10', '2025-01']"
funding,84.46131113295611,60,2018-03,208,54,"['2018-03', '2018-04', '2018-06', '2019-01', '2019-12', '2020-06', '2020-07', '2020-11', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-09', '2024-10', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04']"
palestinian,83.68742336767048,61,2023-10,218,17,"['2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02']"
proposed,80.88824987353746,62,2017-02,285,54,"['2017-02', '2017-04', '2017-07', '2017-08', '2018-01', '2018-05', '2018-06', '2018-09', '2018-10', '2020-07', '2020-08', '2020-09', '2020-11', '2021-01', '2021-03', '2021-04', '2021-05', '2021-08', '2021-09', '2021-10', '2022-01', '2022-03', '2022-04', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-09', '2023-10', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03']"
care,80.66620448283976,63,2017-05,187,44,"['2017-05', '2018-05', '2020-07', '2021-01', '2021-02', '2021-03', '2021-04', '2021-06', '2021-07', '2021-09', '2021-10', '2021-12', '2022-03', '2022-04', '2022-05', '2022-06', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-11', '2024-01', '2024-02', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04']"
palestinian liberation,80.42847790039595,64,2023-10,218,17,"['2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02']"
health,80.21022024745253,65,2017-02,201,48,"['2017-02', '2017-05', '2018-05', '2019-02', '2020-02', '2020-03', '2020-07', '2021-01', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-09', '2021-10', '2021-12', '2022-01', '2022-04', '2022-05', '2022-06', '2022-08', '2022-09', '2022-10', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-11', '2024-01', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
displacement,79.90719868859256,66,2020-07,177,48,"['2020-07', '2020-10', '2020-11', '2021-01', '2021-03', '2021-05', '2021-06', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01']"
conditions,79.80770083250479,67,2017-08,149,59,"['2017-08', '2017-11', '2018-02', '2018-03', '2018-07', '2018-11', '2018-12', '2019-04', '2020-01', '2020-03', '2020-06', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-07', '2021-08', '2021-10', '2021-11', '2021-12', '2022-01', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01', '2025-02', '2025-04']"
encampment,78.6006563224229,68,2018-04,142,48,"['2018-04', '2018-05', '2018-09', '2018-12', '2020-01', '2020-04', '2020-05', '2020-07', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-02', '2023-03', '2023-08', '2023-09', '2023-10', '2023-11', '2024-01', '2024-02', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01']"
right,78.0596546215347,69,2018-11,196,38,"['2018-11', '2020-06', '2020-08', '2020-10', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2022-03', '2022-04', '2022-05', '2022-06', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2023-09', '2023-10', '2023-12', '2024-03', '2024-04', '2024-05', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01', '2025-03']"
planned,76.39247625572153,70,2017-08,157,42,"['2017-08', '2018-08', '2018-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-05', '2023-06', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-03', '2024-04', '2024-06', '2024-07', '2024-11', '2024-12']"
construction,75.3758173400531,71,2017-02,138,50,"['2017-02', '2018-05', '2018-06', '2018-08', '2018-09', '2018-12', '2019-10', '2020-10', '2020-11', '2020-12', '2021-01', '2021-03', '2021-04', '2021-05', '2021-07', '2021-09', '2021-10', '2021-11', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2023-09', '2023-10', '2023-11', '2024-01', '2024-02', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-11', '2024-12', '2025-03']"
education,73.28981322017285,72,2017-02,181,49,"['2017-02', '2018-06', '2019-04', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-07', '2021-09', '2021-10', '2021-11', '2021-12', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-09', '2023-11', '2023-12', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-08', '2024-09', '2024-11', '2025-01', '2025-02', '2025-03']"
housing rights,72.05646696587701,73,2018-01,147,29,"['2018-01', '2018-05', '2018-06', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-08', '2021-10', '2021-12', '2022-02', '2023-04', '2023-12', '2024-01', '2024-03', '2024-04', '2024-08', '2024-09', '2024-11', '2025-04']"
homeless encampment,71.49538416846536,74,2018-04,129,44,"['2018-04', '2018-09', '2018-12', '2020-01', '2020-04', '2020-05', '2020-07', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-02', '2023-03', '2023-08', '2023-10', '2023-11', '2024-01', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01']"
bill,71.23269155983836,75,2017-02,131,47,"['2017-02', '2017-03', '2017-04', '2017-05', '2017-06', '2018-05', '2018-06', '2018-07', '2018-09', '2018-10', '2019-01', '2019-09', '2019-12', '2020-01', '2021-01', '2021-02', '2021-03', '2021-09', '2021-10', '2022-02', '2022-04', '2022-05', '2022-07', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-07', '2023-08', '2023-09', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-12', '2025-02', '2025-03', '2025-04']"
tenants rights,70.4148063408523,76,2020-06,153,47,"['2020-06', '2020-07', '2020-08', '2020-10', '2021-02', '2021-03', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2024-02', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01']"
protest,70.124567259972,77,2017-03,125,53,"['2017-03', '2017-04', '2017-05', '2018-01', '2018-05', '2018-06', '2018-09', '2018-10', '2018-12', '2019-06', '2019-11', '2020-02', '2020-03', '2020-04', '2020-05', '2020-06', '2020-10', '2021-01', '2021-02', '2021-03', '2021-04', '2021-06', '2021-07', '2021-09', '2021-10', '2022-01', '2022-02', '2022-03', '2022-04', '2022-08', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-11', '2024-01', '2024-02', '2024-03', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02']"
immigrants,70.04664624663282,78,2017-05,240,49,"['2017-05', '2019-06', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-10', '2023-12', '2024-01', '2024-03', '2024-04', '2024-05', '2024-06', '2024-09', '2024-10', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04']"
homeless shelter,69.56873900717949,79,2017-05,253,49,"['2017-05', '2017-08', '2017-12', '2018-01', '2018-03', '2018-04', '2018-05', '2018-06', '2018-09', '2018-10', '2018-11', '2018-12', '2019-10', '2019-11', '2020-01', '2020-04', '2020-06', '2020-08', '2020-10', '2021-01', '2021-03', '2021-04', '2021-05', '2021-09', '2021-10', '2021-11', '2022-02', '2022-03', '2022-08', '2022-09', '2022-10', '2023-02', '2023-03', '2023-05', '2023-09', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-02', '2025-03']"
would,68.55227915328257,80,2017-02,228,37,"['2017-02', '2017-03', '2018-09', '2018-10', '2020-07', '2020-09', '2021-04', '2021-09', '2021-10', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-06', '2022-11', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-04']"
plan,67.56982167466188,81,2017-06,122,43,"['2017-06', '2017-10', '2019-06', '2020-05', '2020-06', '2020-11', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-12', '2022-04', '2022-05', '2022-06', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10']"
control,67.42249452496307,82,2017-05,131,61,"['2017-05', '2017-11', '2018-04', '2018-11', '2019-01', '2019-02', '2019-03', '2019-04', '2019-05', '2019-06', '2019-10', '2019-12', '2020-01', '2020-02', '2020-03', '2020-07', '2020-08', '2020-10', '2020-11', '2021-01', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-09', '2021-10', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01', '2025-02']"
uc,67.04919039518595,83,2021-07,121,17,"['2021-07', '2022-02', '2022-04', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-02', '2023-03', '2023-04', '2023-05', '2023-12', '2024-02', '2024-03', '2024-09']"
better,66.20939300489329,84,2017-05,134,48,"['2017-05', '2018-01', '2018-07', '2020-05', '2020-06', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-07', '2021-10', '2021-11', '2021-12', '2022-01', '2022-03', '2022-04', '2022-05', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-02', '2024-04', '2024-05', '2024-06', '2024-08', '2024-09', '2024-10', '2024-12', '2025-02', '2025-04']"
gaza,65.90282789185306,85,2022-01,147,18,"['2022-01', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02']"
march,65.87349557291344,86,2017-05,170,47,"['2017-05', '2017-12', '2018-01', '2021-01', '2021-02', '2021-03', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-11', '2025-01', '2025-04']"
ending,64.42920267180816,87,2020-07,166,41,"['2020-07', '2020-08', '2020-11', '2021-02', '2021-04', '2021-05', '2021-07', '2021-10', '2021-11', '2021-12', '2022-01', '2022-03', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-12', '2023-01', '2023-02', '2023-03', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-04']"
safe,63.7843312308384,88,2020-07,144,33,"['2020-07', '2020-09', '2020-11', '2021-01', '2021-02', '2021-03', '2021-04', '2021-06', '2021-09', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-09', '2022-10', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-10', '2023-11', '2024-01', '2024-04', '2024-06', '2024-08', '2024-11']"
