term,tfidf_weight_sum,rank,first_appearance,occurrence_count,unique_date_count,unique_dates
democratic illegal,80.3420184566852,286,2025-04,867,1,['2025-04']
security key,80.3420184566852,287,2025-04,867,1,['2025-04']
funding medical aid,80.3420184566852,288,2025-04,867,1,['2025-04']
security key programs,80.3420184566852,289,2025-04,867,1,['2025-04']
social security key,80.3420184566852,290,2025-04,867,1,['2025-04']
funding medical,80.3420184566852,291,2025-04,867,1,['2025-04']
federal funding medical,80.3420184566852,292,2025-04,867,1,['2025-04']
illegal actions trump,80.3420184566852,293,2025-04,867,1,['2025-04']
illegal actions,80.3420184566852,294,2025-04,867,1,['2025-04']
actions trump administration,80.3420184566852,295,2025-04,867,1,['2025-04']
medical aid social,80.3420184566852,296,2025-04,867,1,['2025-04']
anti democratic illegal,80.3420184566852,297,2025-04,867,1,['2025-04']
aid social,80.3420184566852,298,2025-04,867,1,['2025-04']
aid social security,80.3420184566852,299,2025-04,867,1,['2025-04']
administration ending rampant,80.20274314652072,300,2025-04,866,1,['2025-04']
administration plutocratic,80.20274314652072,301,2025-04,866,1,['2025-04']
administration plutocratic allies,80.20274314652072,302,2025-04,866,1,['2025-04']
allies hostile,80.20274314652072,303,2025-04,866,1,['2025-04']
class depends,80.20274314652072,304,2025-04,866,1,['2025-04']
class depends ending,80.20274314652072,305,2025-04,866,1,['2025-04']
allies hostile government,80.20274314652072,306,2025-04,866,1,['2025-04']
attacks immigrants transgenders,80.20274314652072,307,2025-04,866,1,['2025-04']
ending attacks,80.20274314652072,308,2025-04,866,1,['2025-04']
ending attacks immigrants,80.20274314652072,309,2025-04,866,1,['2025-04']
ending cuts,80.20274314652072,310,2025-04,866,1,['2025-04']
plutocratic,80.20274314652072,311,2025-04,866,1,['2025-04']
plutocratic allies,80.20274314652072,312,2025-04,866,1,['2025-04']
plutocratic allies hostile,80.20274314652072,313,2025-04,866,1,['2025-04']
programs working,80.20274314652072,314,2025-04,866,1,['2025-04']
programs working class,80.20274314652072,315,2025-04,866,1,['2025-04']
hostile government,80.20274314652072,316,2025-04,866,1,['2025-04']
hostile government takeover,80.20274314652072,317,2025-04,866,1,['2025-04']
corruption within,80.20274314652072,318,2025-04,866,1,['2025-04']
corruption within trump,80.20274314652072,319,2025-04,866,1,['2025-04']
ending rampant corruption,80.20274314652072,320,2025-04,866,1,['2025-04']
within trump,80.20274314652072,321,2025-04,866,1,['2025-04']
within trump administration,80.20274314652072,322,2025-04,866,1,['2025-04']
depends ending attacks,80.20274314652072,323,2025-04,866,1,['2025-04']
immigrants transgenders,80.20274314652072,324,2025-04,866,1,['2025-04']
immigrants transgenders marginalized,80.20274314652072,325,2025-04,866,1,['2025-04']
overseen,80.20274314652072,326,2025-04,866,1,['2025-04']
overseen trump,80.20274314652072,327,2025-04,866,1,['2025-04']
overseen trump administration,80.20274314652072,328,2025-04,866,1,['2025-04']
key programs working,80.20274314652072,329,2025-04,866,1,['2025-04']
rampant,80.20274314652072,330,2025-04,866,1,['2025-04']
rampant corruption,80.20274314652072,331,2025-04,866,1,['2025-04']
rampant corruption within,80.20274314652072,332,2025-04,866,1,['2025-04']
depends,80.20274314652072,333,2025-04,866,1,['2025-04']
depends ending,80.20274314652072,334,2025-04,866,1,['2025-04']
government takeover overseen,80.20274314652072,335,2025-04,866,1,['2025-04']
takeover overseen,80.20274314652072,336,2025-04,866,1,['2025-04']
takeover overseen trump,80.20274314652072,337,2025-04,866,1,['2025-04']
transgenders,80.20274314652072,338,2025-04,866,1,['2025-04']
transgenders marginalized,80.20274314652072,339,2025-04,866,1,['2025-04']
transgenders marginalized communities,80.20274314652072,340,2025-04,866,1,['2025-04']
trump administration plutocratic,80.20274314652072,341,2025-04,866,1,['2025-04']
ending cuts federal,80.20274314652072,342,2025-04,866,1,['2025-04']
ending rampant,80.20274314652072,343,2025-04,866,1,['2025-04']
working class depends,80.20274314652072,344,2025-04,866,1,['2025-04']
administration ending cuts,80.20274314652072,345,2025-04,866,1,['2025-04']
