query,state,url
health,AZ,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AZ&q=health&hl=en
health,CA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CA&q=health&hl=en
health,CO,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CO&q=health&hl=en
health,CT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CT&q=health&hl=en
health,DE,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-DE&q=health&hl=en
health,FL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-FL&q=health&hl=en
health,GA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-GA&q=health&hl=en
health,HI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-HI&q=health&hl=en
health,IA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IA&q=health&hl=en
health,ID,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ID&q=health&hl=en
health,IL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IL&q=health&hl=en
health,IN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IN&q=health&hl=en
health,KS,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-KS&q=health&hl=en
health,KY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-KY&q=health&hl=en
health,LA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-LA&q=health&hl=en
health,MA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MA&q=health&hl=en
health,MD,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MD&q=health&hl=en
health,ME,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ME&q=health&hl=en
health,MI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MI&q=health&hl=en
health,MN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MN&q=health&hl=en
health,MO,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MO&q=health&hl=en
health,MS,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MS&q=health&hl=en
health,MT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MT&q=health&hl=en
health,NC,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NC&q=health&hl=en
health,ND,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ND&q=health&hl=en
health,NE,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NE&q=health&hl=en
health,NH,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NH&q=health&hl=en
health,NJ,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NJ&q=health&hl=en
health,NM,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NM&q=health&hl=en
health,NV,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NV&q=health&hl=en
health,NY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NY&q=health&hl=en
health,OH,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OH&q=health&hl=en
health,OK,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OK&q=health&hl=en
health,OR,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OR&q=health&hl=en
health,PA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-PA&q=health&hl=en
health,RI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-RI&q=health&hl=en
health,SC,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-SC&q=health&hl=en
health,SD,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-SD&q=health&hl=en
health,TN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-TN&q=health&hl=en
health,TX,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-TX&q=health&hl=en
health,UT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-UT&q=health&hl=en
health,VA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-VA&q=health&hl=en
health,VT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-VT&q=health&hl=en
health,WA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WA&q=health&hl=en
health,WI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WI&q=health&hl=en
health,WV,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WV&q=health&hl=en
health,WY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WY&q=health&hl=en
health,DC,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-DC&q=health&hl=en
criminal justice,AK,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AK&q=criminal%20justice&hl=en
criminal justice,AL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AL&q=criminal%20justice&hl=en
criminal justice,AR,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AR&q=criminal%20justice&hl=en
criminal justice,AZ,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AZ&q=criminal%20justice&hl=en
criminal justice,CA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CA&q=criminal%20justice&hl=en
criminal justice,CO,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CO&q=criminal%20justice&hl=en
criminal justice,CT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CT&q=criminal%20justice&hl=en
criminal justice,DE,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-DE&q=criminal%20justice&hl=en
criminal justice,FL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-FL&q=criminal%20justice&hl=en
criminal justice,GA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-GA&q=criminal%20justice&hl=en
criminal justice,HI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-HI&q=criminal%20justice&hl=en
criminal justice,IA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IA&q=criminal%20justice&hl=en
criminal justice,ID,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ID&q=criminal%20justice&hl=en
criminal justice,IL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IL&q=criminal%20justice&hl=en
criminal justice,IN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IN&q=criminal%20justice&hl=en
criminal justice,KS,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-KS&q=criminal%20justice&hl=en
criminal justice,KY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-KY&q=criminal%20justice&hl=en
criminal justice,LA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-LA&q=criminal%20justice&hl=en
criminal justice,MA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MA&q=criminal%20justice&hl=en
criminal justice,MD,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MD&q=criminal%20justice&hl=en
criminal justice,ME,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ME&q=criminal%20justice&hl=en
